"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
118938.8;97925;79599.39;84002.09;77345;71176.7;600.7485;7153.068;1423.511;-38.66544;30.94287;398.7019;-61.30946;71.2421;3684.222;-0.7928162;95.42426;125.1089;58.90765;50.3
86232.75;70170;80537.98;67306.2;61966;71183.86;2399.358;-41.39159;1322.574;87.80788;1309.128;279.4955;2204.96;26.14397;6307.843;99.90343;89.89771;139.0676;41.92915;50.3
113907.3;94171;79270.98;66879.54;60495;72452.55;1654.531;3448.214;633.1068;116.4717;714.2352;266.0471;22.86831;-57.6213;4526.384;-36.01622;-8.743104;486.0243;-50.16794;50.4
98300.85;74911;85998.64;88830.3;79515;73213.64;410.2894;4043.703;477.3252;50.88713;1540.586;812.3317;53.80496;957.4543;5565.876;-81.48207;426.6082;1205.057;9.103271;50.4
100427.4;87711;75037.49;51159.42;48811;68689.1;341.5098;-93.77395;1293.285;35.5301;2326.984;992.6738;1716.664;383.5996;8289.243;-19.21807;27.88326;79.06374;11.37312;50.8
108806.1;89415;79748.55;67672.8;57335;77352.48;685.2449;5671.596;553.988;21.61916;84.53894;2361.721;-35.82494;90.76748;2787.271;26.90053;82.84277;14.46878;49.59668;51.1
162122.4;138322;76812.48;59250.36;54694;70995.57;1096.397;2122.947;116.3773;-27.48014;144.8813;160.3339;97.79676;-7.936356;2603.743;25.6291;45.70291;249.583;25.71573;52.5
173704.7;151947;74920.3;45417.84;42187;70554.99;754.2933;-50.82707;2363.867;94.71723;2400.35;281.4448;2482.181;202.1214;4434.929;15.97702;188.6183;-154.0755;-1.917755;52.7
167338.1;146279;74970.92;36894;34003;71108;59.9406;-42.40846;2575.481;91.65101;2302.267;421.8852;1970.493;3889.55;10504.7;27.93533;323.0617;-44.06897;94.16878;52.8
125839.4;106148;77693.54;57092.88;54116;69141.08;977.453;2247.098;450.1342;-16.95945;-91.6465;1386.789;22.4847;123.6581;2790.688;-61.58278;86.86418;118.4102;-7.030609;53.4
121551.1;94342;84437.18;118640.3;106438;73049.23;1102.324;745.7241;107.7809;-27.20881;-51.11581;767.0966;29.57959;18143.41;2219.173;-36.98616;186.9279;28.47853;86.82442;53.5
154675.9;131762;76932.97;43825.08;40358;71166.06;2404.508;27.9722;309.5259;-11.10268;962.7839;436.2065;2933.823;20.13818;3805.254;59.31334;207.9805;10.52617;18.52356;54.2
155134.8;131271;77449.8;101233.9;89095;74465.04;1936.615;2231.1;76.51342;24.75648;256.5642;2592.061;90.13936;21349.1;6937.081;64.00183;311.906;787.1057;99.93307;54.5
95423.55;78994;79166.49;70535.4;62914;73475.02;2534.69;42.12651;993.4416;31.32847;524.9053;272.5482;1274.154;256.9532;4666.462;21.26547;197.761;-86.58291;-18.30296;54.6
152918.5;129732;77248.98;73607.82;68468;70455.73;1354.23;-75.27764;1658.279;0.4103665;70.96535;401.8446;1759.501;329.1764;6207.745;58.3623;131.1385;33.7071;44.36018;54.7
129901.5;104227;81679.63;74880;65955;74404.3;2385.565;-36.93839;1399.14;-13.12794;117.9401;648.8658;167.9744;2473.396;19602.82;-13.64125;206.6058;4240.742;-23.36395;55.2
124366.3;107312;75951.15;43506.06;41168;69257.99;291.9173;11.20695;2136.431;24.1084;5134.288;1603.873;3314.845;4425.168;6508.589;-30.68133;173.6686;41.54888;95.3831;55.6
159625.3;133730;78226.31;79898.52;73542;71200.53;2053.272;-41.09218;1130.948;-25.08086;65.68599;2021.895;1087.561;-25.60973;4241.326;-104.933;42.32404;184.9039;-14.78709;56
92210.22;77667;77807.68;82656.59;73927;73274.76;657.6956;6781.326;76.28008;56.50401;-35.04759;242.0212;48.31351;18522.64;3837.708;7.32822;230.4549;-100.6224;135.4472;57.1
113879.7;93403;79903.41;51198.42;41515;80822.34;657.5057;-88.53609;2085.688;-102.4902;2501.135;1414.308;2272.958;491.9146;10569.68;336.6433;242.479;81.19498;25.91434;59.2
178200.1;148590;78595.61;55655.34;49214;74113.64;3690.081;-151.1387;967.1696;-21.2264;560.4527;409.491;3463.788;-73.42131;9362.343;34.58122;289.0325;20.45854;10.77582;61
123849.5;105327;77060.96;35270.82;32543;71029.37;500.0425;18.03004;1680.965;33.316;2022.281;384.8467;1697.82;1301.152;3332.697;-11.57082;134.3431;55.89852;117.3108;61.1
133611.6;112230;78021.65;59893.08;53762;73009.8;2238.363;-52.96567;3445.528;52.88964;1670.159;533.5674;2741.919;372.1274;5046.702;27.46356;244.1399;92.5389;29.73936;61.3
109837.6;90968;79130.24;83845.32;74840;73421.8;1230.382;7185.387;1718.692;21.82181;72.94028;1114.313;140.9222;96.67844;4883.755;-62.56063;76.64026;186.151;44.25195;61.7
181699.8;157814;75455.14;67395.9;63010;70097.72;801.4286;9278.359;54.88939;14.32016;105.0242;1130.547;132.9579;3084.118;4595.855;-30.963;152.3729;16.64927;123.4722;61.9
157422.8;137904;74811.91;35894.04;34560;68065.73;-57.75524;-2.366129;1319.579;53.19777;2409.181;850.0553;2146.026;2340.216;2998.433;50.89458;94.16565;84.00449;-19.00891;62
149735.5;125564;78151.91;49842.78;46284;70575.06;324.0586;12.94849;2088.296;-25.55519;2901.009;1144.27;1896.91;8531.753;5921.255;-48.25949;300.1743;-178.1145;84.59032;62.4
177879.9;150766;77322.07;88414.55;82666;70093.34;923.1935;5373.115;1325.862;12.56883;446.3319;1240.564;79.20966;825.8207;4657.193;117.8442;101.1989;24.8263;-34.48285;63.6
158753.8;128722;80826.05;56312.1;46806;78846.09;1709.264;-27.42949;1203.066;39.94603;730.1708;322.9105;1323.982;88.04372;3563.593;1010.562;260.4392;261.2671;17.20761;64.1
100378.4;83414;78864.48;81350.88;75762;70370.52;3054.829;-34.38833;828.5626;6.673916;370.6668;1554.565;1437.937;155.4797;3968.073;1.858708;101.8658;-45.19592;-35.97107;64.6
93998.7;76470;80558.38;66973.91;53986;81302.62;298.212;-21.095;814.7584;43.88548;1902.918;1092.163;1207.681;2239.874;3380.052;2061.098;266.275;320.3881;98.48759;64.6
83638.35;72051;76075.6;35372.22;33187;69851.27;185.4661;-67.20282;1494.685;36.10477;2668.832;1353.167;1933.461;3763.284;5935.576;-39.5117;192.7204;52.65411;45.09558;64.9
72988.89;59277;80695.73;73923.72;68109;71131.05;2502.293;-20.27481;172.9509;51.52114;340.9348;1058.069;1853.071;86.74076;4693.853;107.1868;298.9581;387.8476;18.31836;66.5
122640.6;97574;82372.09;86840.52;76290;74599.29;2666.329;-8.569069;568.19;13.70961;181.2157;311.5598;2028.316;136.9101;3893.627;170.9568;113.9205;117.5084;16.73155;66.6
134540.3;113608;77611.05;43582.5;40536;70461.39;141.5957;-53.99574;1780.303;27.10965;3322.102;715.0693;1752.16;6398.366;9410.379;14.20754;254.3081;-104.6069;95.77135;67
129724.8;109267;77806.17;44272.8;41091;70610.65;346.7352;-32.57241;1194.432;4.40157;1177.725;1341.025;2172.966;214.1256;7661.371;25.80313;140.8363;-76.48148;43.22098;67.4
120625.8;104424;75704.18;74366.76;68044;71625.71;3950.24;-159.7983;417.4776;20.57798;1332.03;1159.324;2819.123;89.10243;12793.85;59.41187;246.1173;-103.6774;4.713287;68.6
147063.2;127978;75309.29;49697.7;46974;69335.98;347.6239;5866.904;49.25315;172.9182;-77.32111;-29.13572;159.0511;23.20164;3828.567;-86.06087;91.28403;1391.836;4920.669;68.8
154870.5;130465;77795.53;54451.02;49634;71896.32;5451.861;-154.064;498.8246;-71.56512;946.1439;498.3484;2311.416;200.5865;7797.465;184.68;219.6304;446.4698;-47.87749;70.1
164389;143739;74951.13;59283.9;54927;70734.42;1439.664;382.5358;257.2628;130.6358;39.83058;1240.376;79.24951;508.074;6292.831;-21.13306;100.3341;13526.37;-42.19696;70.8
