"FSC-A";"FSC-H";"FSC-W";"SSC-A";"SSC-H";"SSC-W";"CD95";"CD8";"CD27";"CXCR4";"CCR7";"LIVE/DEAD";"CD4";"CD45RA";"CD3";"CD49b";"CD14/19";"CD69";"CD103";"TIME"
142212.5;117114;79580.88;97149;84574;75280.3;627.7532;2507.73;113.469;105.2514;-149.9972;507.5237;-49.7459;727.4562;5009.322;-135.0573;38.75782;84.4481;-10.17279;51.6
140444;123595;74470.14;38641.2;36767;68876.7;671.8501;2599.439;918.2606;111.246;-40.23853;350.0413;-36.94356;44.80829;2226.509;-92.1068;74.02281;2654.786;56.0004;53.1
141181.6;119206;77617.55;83734.55;74738;73424.86;1777.915;8522.923;567.2213;18.47413;-40.37537;1364.357;-105.4295;9885.628;3180.646;35.36522;92.1643;-32.58253;-40.76959;55.4
161925.1;144159;73612.6;52425.36;49503;69404.86;920.4963;354.85;1139.405;-54.13765;28.0435;245.9086;116.2413;8516.398;3317.984;83.37145;61.62196;195.758;66.56337;55.9
92369.61;79054;76574.69;64569.96;55950;75632.83;1371.904;1469.677;99.58334;-58.20903;76.43269;66.08479;141.8051;-66.71231;2495.073;-21.7557;-74.45783;163.8483;-81.21278;60.5
86891.7;70475;80802.2;72692.09;62111;76700.57;1148.57;6797.396;1151.04;118.5432;89.05838;463.4611;6.773256;518.9043;3641.333;-60.86595;165.2776;61.15495;59.91809;62.1
125747.7;104362;78965.52;52409.76;49530;69346.38;1099.551;2218.273;1071.028;-71.59863;-31.83904;378.9012;51.64613;15897.77;3385.432;48.39804;181.548;55.48033;38.57422;67.4
135204.1;117338;75514.65;66439.62;62730;69411.55;1861.072;16.24483;1253.985;-54.52174;317.5073;467.4545;1806.891;6.768957;6131.692;-67.87164;91.55009;87.85394;-3.449402;67.9
111789.7;96303;76074.96;80021.76;71855;72984.58;1507.423;-74.54167;1692.407;-21.19108;141.8068;1053.931;1889.042;198.2381;4909.997;198.7525;27.05047;109.6266;24.4872;70.1
122197.6;104934;76317.91;65863.98;60342;71533.29;717.4211;8393.451;557.8339;8.34001;33.38777;568.0151;-12.7295;169.0271;4098.473;16.08357;133.593;71.16176;-95.22119;70.4
127682.4;114881;72838.81;47702.46;46865;66707.1;750.1085;1994.174;459.0218;116.365;-9.878903;102.532;0.3769886;77.67068;2185.705;-57.91595;38.99343;2266.821;26.43469;71
139577.3;118343;77295.16;92174.16;83891;72006.84;1123.57;9560.244;1066.301;106.2395;178.0335;1796.968;-24.05052;2027.972;5856.958;29.59811;83.00407;81.70745;30.34229;72.7
163500.3;142997;74932.74;69404.4;65025;69949.81;1321.464;10.71462;798.6974;-2.140749;-44.52191;407.4858;12.45182;109.4131;12806;-88.6147;-35.7995;139.7765;-69.81151;72.7
125771.1;111058;74218.31;57556.98;54310;69454.13;118.8674;-39.57246;1001.428;35.36521;2677.925;826.9344;2138.77;760.2651;6255.914;-18.05063;58.48529;-55.02674;38.06593;73.1
160955.6;135762;77697.64;52709.28;48018;71938.76;1778.147;-77.64607;99.06771;32.78838;-4.45408;1805.607;2116.736;73.66419;7233.588;104.6539;199.5827;-122.4643;47.08768;75.8
148070.5;128766;75361.13;77000.04;72878;69242.77;310.2174;9188.048;394.7104;77.20112;20.43076;594.7;147.0922;1374.567;3640.279;0.1609459;120.2188;1274.871;148.3778;76.5
99162.66;86582;75058.6;48774.96;45378;70441.97;133.9916;29.70071;925.4929;-25.60432;2372.062;94.52802;1959.821;566.8945;5454.981;-33.6829;173.6364;-57.59981;-31.97446;76.8
147805.6;128429;75423.67;74110.91;70109;69276.89;704.6855;3840.3;552.3273;68.2542;84.89433;981.7263;-68.64278;348.9078;4169.981;-49.89029;-10.02297;2.877723;33.08749;77.4
155195.5;134067;75864.24;64482.6;57907;72977.91;1412.335;-51.92406;592.764;80.18604;367.6962;210.0954;84.61652;558.6733;7380.997;-56.74803;-29.72424;-56.70858;-69.98208;79
129780.7;111643;76183.09;42940.56;39483;71275.05;394.6123;3039.732;818.8664;39.65384;353.0663;436.1102;-2.311867;457.9496;3674.357;58.11271;-22.93713;204.3478;33.50983;80.9
162937.3;139254;76681.88;83495.09;76946;71113.96;388.9315;-22.50756;105.4222;22.88568;-28.97349;1374.43;16.94369;1232.693;4774.038;366.3235;106.9789;-47.99341;-8.982567;82.3
76455.45;64122;78141.43;103711.1;95466;71196.17;2888.251;-5.24415;640.0662;-6.678155;49.4774;683.3344;1454.897;189.1568;4315.107;12.42327;293.5999;23.71972;49.04993;82.4
179465.5;158527;74192.12;54602.34;50399;71001.79;1667.128;-131.673;1286.577;33.10001;538.7224;510.5702;2622.325;15.25017;6767.177;58.19761;154.4254;-43.78303;56.28645;83.8
163837.7;142363;75421.77;84793.02;77499;71704.09;1384.596;-18.78748;1645.135;63.01524;403.0559;974.6114;3603.294;50.53813;6880.719;-25.81525;159.8809;446.4522;0.7841339;84.6
95404.92;78908;79237.3;82884.36;74767;72651.16;852.4153;-89.15314;1116.911;81.75677;833.0192;615.0929;258.4033;566.2029;8966.599;49.47635;193.7332;3072.812;-21.15881;85.4
118891.1;99647;78192.52;89600.94;82859;70868.44;1593.617;4141.297;1572.563;204.7154;24.85522;781.9709;149.18;7302.137;4944.381;-29.56541;129.4155;4279.386;89.1944;86.3
136237;120101;74341.02;36851.88;35461;68106.5;938.83;3797.124;600.7916;119.9873;65.23069;754.0399;144.8448;2253.169;2661.747;-84.44434;134.3754;3254.692;24.84363;86.5
108666;98891;72014.01;41522.52;38219;71200.72;168.2797;3.825654;317.4165;71.47958;1412.781;613.7291;740.5623;1182.889;2280.899;-64.02617;73.36808;-37.08183;-26.33565;87.5
181264.4;158543;74928.2;104296.9;97339;70220.61;2354.334;9916.521;1012.567;55.83017;22.34942;368.8731;-49.226;822.6987;3625.591;29.127;154.261;67.44241;97.61035;88.8
112263;95138;77332.6;45428.76;42258;70453.38;578.063;2522.924;37.89233;15.84325;50.68405;285.2145;109.9142;1203.323;2813.152;-137.3058;22.99757;7042.926;-45.30096;89
115796.5;100078;75829.24;72143.76;67722;69815.03;51.39275;8673.541;412.6237;62.20644;42.74058;1806.632;58.81295;91.01389;4773.25;-54.28497;28.2441;2941.966;1564.565;93.3
144878.6;119910;79182.43;64868.7;59414;71552.75;621.9247;-13.82563;1267.204;54.62592;444.073;76.102;1735.029;31.3014;6906.188;-16.05482;80.27216;98.39977;-5.850998;93.5
124599.5;107556;75920.95;62527.92;58868;69610.48;1156.525;34.58954;0.186711;-26.67705;-19.03452;554.4541;1088.332;86.34696;1644.08;195.3428;306.9339;48.18821;9.047783;93.9
95369.73;80390;77747.87;85266.48;77634;71979.09;642.0714;6718.554;1233.197;65.3437;592.0593;799.1001;77.07496;431.6576;3413.713;95.13245;10.6475;78.695;36.78754;94.1
120878.3;107894;73422.84;38408.76;37014;68005.52;112.5704;7.024735;727.5269;-13.57915;2410.701;54.86629;1723.218;3654.714;3056.095;-34.21938;120.8188;37.20413;50.89645;95.4
114543.5;99039;75795.6;66576.12;61611;70817.43;1106.763;869.8217;302.7036;-36.43337;-14.64161;1590.367;113.5612;6827.084;2277.175;-70.99416;237.0704;93.60868;0.3990479;95.6
141197.5;122929;75275.3;85693.91;76305;73599.85;475.5381;11260.34;970.7415;-48.03077;-103.7704;293.1251;51.50119;21641.67;8764.241;12.44367;241.548;390.5528;88.65259;96.2
95941.05;85358;73661.43;50483.94;45982;71952.41;1368.606;-99.27573;1521.533;6.556757;1452.283;465.1689;2386.114;207.0105;4337.732;65.33231;90.72411;7.515454;-30.96822;96.9
108798.5;101786;70051.08;69925.44;64910;70599.8;1367.254;2093.856;605.3164;66.64697;-29.82823;793.9832;-250.4325;94.91637;2130.838;4.933626;127.755;95.74271;-6.004395;98
90574.92;77462;76630.07;99227.7;89846;72379.26;2268.631;-59.93166;626.6236;69.7732;250.9637;328.6532;173.968;3.319649;3948.426;-24.79835;72.46136;109.8485;-13.98238;98.1
99346.89;84985;76611.14;57234.84;53133;70595.34;923.995;-25.587;480.845;74.08077;653.308;508.5325;2380.645;103.1968;2952.443;65.86665;234.9676;-123.0151;24.18847;99.3
122996;97674;82526.2;63574.68;58270;71502.14;4513.559;4465.458;19.16966;-23.43079;252.9656;486.7474;168.7533;76.40023;2553.813;190.0348;58.8227;-13.6763;1152.414;99.3
96139.77;82566;76310.05;68949.66;63154;71550.25;427.2567;-38.80369;1072.805;-60.56362;4414.16;523.885;2637.617;140.3737;7326.558;-41.93452;75.04055;12.02323;11.09404;102
183372.3;156238;76917.84;62485.02;56506;72470.5;1829.24;8294.802;926.7701;-0.6260309;244.5339;970.6978;21.24926;1242.399;5165.126;42.0436;409.9271;118.6497;126.5256;102.8
132951.3;115874;75194.56;43690.92;41250;69414.02;1778.707;-34.18701;1438.947;-34.95284;1440.664;240.1937;1802.951;130.6151;4660.721;44.38702;-12.4359;27.37626;-9.963249;103.6
83489.31;74111;73829.2;49518.3;47295;68616.8;929.1436;1458.998;416.8076;133.9135;420.6742;2336.061;55.32583;997.9707;2021.236;-34.09046;215.8605;337.4162;161.067;106.1
129364.6;109594;77358.63;43894.5;40394;71215.28;151.2063;5.859768;1894.444;14.7986;3485.375;647.7054;2027.678;1591.44;4950.747;17.64205;152.4338;43.03715;93.63601;106.4
103394.4;86767;78094.87;49870.86;46107;70885.91;944.7036;15.88772;386.944;101.9042;632.235;586.0396;2251.75;-12.89122;2812.345;25.55663;222.1482;3693.368;-12.83804;106.9
109943.9;94563;76195.59;65523.12;62631;68562.27;600.3865;42.16629;872.2272;134.4293;192.0268;554.2963;1745.531;6.195099;3627.081;-18.99914;158.3933;65.67064;-59.96286;107.8
